prompt,A,B,C,D,E,answer,category,Function
"다음은 과세사업과 면세사업을 겸영하는 (주)A의 2022년 제1기 확정신고기간(2022.4.1.~6.30.)의 거래내역이다. 2022년 제1기 확정신고시 매출세 액에서 공제되는 매입세액은? (단, 주어진 자료 이외에는 고려하지 않음)

1. 2022.4.20.에 법인사업자로부터 과세사업에 사용되는 재화를 매입하고 전자 세금계산서 외의 세금계산서를 2022.7.5.에 발급받았고, 그 거래사실이 확인 되는 것의 부가가치세 매입세액은 2,000,000원이다.
2. 2022.5.10.에 법인사업자로부터 매입한 면세사업에 사용되는 재화의 매입세액 은 1,000,000원이다.
3. 2022.5.25.에 매입한 과세사업과 면세사업에 공통으로 사용될 기계설비의 매 입세액은 5,000,000원이며, 과세사업과 면세사업의 공급가액(부가가치세 제외 금액)은 다음과 같다.

과세기간 과세사업 공급가액 면세사업 공급가액
2022.1.1.~3.31. 160,000,000원 100,000,000원
2022.4.1.~6.30. 330,000,000원 110,000,000원","2,500,000원","4,500,000원","4,750,000원","5,500,000원","5,750,000원",D,Added Tax Law,Calculate
"부가가치세 과세사업을 영위하는 (주)A에 관한 다음 자료에 따 라 2022년 제1기 확정신고기간(2022.4.1.~6.30.)의 매입처별 세금계산서합계표 상 부가가치세 매입세액에 가감할 금액은? (단, 법령상 신고 등의 절차는 적법하게 이행되었으며, 주어진 자료 이외에는 고려하지 않음)

1. 2020.1.1.에 공급한 재화에 대한 매출채권 17,600,000원(부가가치세 포함)이 2022.4.5.에 부가가치세법에 따른 대손으로 확정되었다.
2. 2021.3.1.에 부가가치세법에 따른 대손으로 확정된 매출채권 27,500,000원 (부가가치세 포함)을 2022.5.10.에 회수하였다.
3. 2021년 제1기 부가가치세 확정신고시 매입세액에서 차감한 대손세액은 1,980,000원이었고, 2022.6.15.에 해당 대손 금액 전부를 변제하였다.","520,000원 차감","1,080,000원 차감","1,800,000원 가산","1,980,000원 가산","3,580,000원 가산",D,Added Tax Law,Calculate
부가가치세법령상 영세율과 면세에 관한 설명으로 옳지 않은 것은?,외국인도수출로서 국내 사업장에서 계약과 대가 수령 등 거래가 이루어지는 것은 영세 율을 적용한다.,사업자가 비거주자 또는 외국법인이면 그 해당 국가에서 대한민국의 거주자 또는 내국 법인에 대하여 동일하게 면세하는 경우에만 영세율을 적용한다.,외국에서 생산되어 식용으로 제공되지 아니하는 수산물로서 원생산물의 수입에 대해서 는 면세를 적용한다.,수입하는 상품의 견본과 광고용 물품으로서 관세가 면제되는 재화의 수입에 대해서는 면세를 적용한다.,부가가치세가 면제되는 재화 또는 용역의 공급이 영세율의 적용 대상이 되는 것인 경우 면세의 포기를 신고하여 부가가치세의 면제를 받지 아니할 수 있다.,C,Added Tax Law,Thoery
부가가치세법령상 세금계산서에 관한 설명으로 옳은 것은?,"공급하는 자의 주소, 공급품목, 단가와 수량, 작성 연월일이 기재되지 않은 세금계산서라 도 그 매입세액은 매출세액에서 공제한다.",전자세금계산서를 발급하여야 하는 사업자가 아닌 사업자는 전자세금계산서를 발급하거나 전자세금계산서 발급명세를 전송할 수 없다.,처음 공급한 재화가 환입된 경우 재화가 환입된 날을 작성일로 적고 비고란에 처음 공급일을 덧붙여 적은 후 감소된 금액을 검정색 글씨로 쓰거나 음(陰)의 표시를 하여 수정 세금계산서 또는 수정전자세금계산서를 발급한다.,직전 연도의 공급대가의 합계액이 4천800만원 미만인 간이과세자가 부가가치세가 과세 되는 재화를 공급하는 경우에는 재화의 공급시기에 그 공급을 받은 자에게 영수증 또는 세금계산서를 발급할 수 있다.,세관장은 수입되는 재화에 대하여 부가가치세를 징수할 때(부가가치세법 제50조의2에 따라 부가가치세의 납부가 유예되는 때를 포함)에는 수입된 재화에 대한 세금계산서 를 법령으로 정하는 바에 따라 수입하는 자에게 발급하여야 한다.,E,Added Tax Law,Thoery
국제조세조정에 관한 법률상 국외특수관계인 및 관련 과세조정에 관한 설명으로 옳지 않은 것은?,"""국외특수관계인""이란 거주자, 내국법인 또는 국내사업장과 특수관계에 있는 비거주자 또는 외국법인(비거주자 또는 외국법인의 국내사업장은 제외)을 말한다.","과세당국은 거주자와 국외특수관계인이 사전에 원가, 비용, 위험의 분담에 대한 약정을 체결하고 이에 따라 무형자산을 공동으로 개발 또는 확보하는 경우 거주자의 원가등의 분담액이 정상원가분담액보다 많을 때에는 정상원가분담액을 기준으로 거주자의 과세표 준과 세액을 결정하거나 경정할 수 있다.","체약상대국이 거주자와 국외특수관계인의 거래가격을 정상가격으로 조정하고, 이에 대한 상호합의절차가 진행 중인 경우 거주자는 경정청구를 할 수 있으며, 과세당국은 그 경정청 구의 결과에 따라 거주자의 각 과세연도 과세표준 및 세액을 조정하여 계산하여야 한다.",과세당국은 국외특수관계인과의 거래에 대한 과세조정에 관한 규정을 적용할 때 납세의 무자가 일방적 사전승인을 받은 경우로서 신고한 거래가격과 정상가격의 차이에 대하여 납세의무자의 과실이 없다고 국세청장이 판정하는 경우에는 국세기본법에 따른 과 소신고가산세를 부과하지 아니한다.,거주자는 일정 기간의 과세연도에 대하여 일정한 정상가격 산출방법을 적용하려는 경우 에는 그 정상가격 산출방법을 적용하려는 일정 기간의 과세연도 중 최초의 과세연도 개 시일의 전날까지 국세청장에게 사전승인을 신청할 수 있다.,C,ETC,Thoery
국제조세조정에 관한 법률에서 규정하고 있는 내용으로 옳지 않은 것은?,제조업을 영위하는 내국법인이 국외법인으로부터 차입한 금액에 대한 이자비용이 조정소 득금액의 30퍼센트를 초과하는 경우에는 그 초과하는 금액은 손금에 산입하지 아니한다.,"내국법인이 국외특수관계인과의 혼성금융상품 거래에 따라 지급한 이자등 중 법령으 로 정하는 기간(이하 ""적정기간"") 이내에 그 거래 상대방이 소재한 국가에서 거래 상대방의 소득에 포함되지 아니하는 등 과세되지 아니한 금액은 적정기간 종료일이 속 하는 사업연도의 소득금액을 계산할 때 법령으로 정하는 바에 따라 익금에 산입하며 법인세법에 따른 기타사외유출로 처분된 것으로 본다.","조세조약에서 정의하지 아니한 용어 및 문구에 대해서는 국세기본법 제2조제2호에 따른 세법에서 정의하거나 사용하는 의미에 따라 조세조약을 해석, 적용한다.",배당간주금액은 특정외국법인의 해당 사업연도 종료일의 다음 날부터 60일이 되는 날이 속하는 내국인의 과세연도의 익금 또는 배당소득에 산입한다.,출자금액 대비 과다차입금 지급이자의 손금불산입 규정에 따라 손금불산입 되는 내국 법인의 지급이자 및 할인료는 법인세법에 따른 배당 또는 기타사외유출로 처분된 것으로 본다.,A,ETC,Thoery
국세기본법상 서류의 송달에 관한 설명이다. 옳지 않은 것은?,"교부에 의한 서류 송달은 해당 행정기관의 소속 공무원이 서류를 송달할 장소에서 송달받아야 할 자에게 서류를 교부하는 것이 원칙이지만, 송달을 받아야 할 자가 송달받기를 거부하지 아니하면 다른 장소에서 교부할 수 있다.","납부의 고지에 관한 서류를 연대납세의무자에게 송달할 때에는 그 대표자를 명의인으로 하며, 대표자가 없을 때에는 연대납세 의무자 중 국세를 징수하기에 유리한 자를 명의인으로 한다.",서류를 송달받아야 할 자 또는 그 사용인이나 그 밖의 종업원 또는 동거인으로서 사리를 판별할 수 있는 사람이 정당한 사유 없이 서류 수령을 거부할 때에는 송달할 장소에 서류를 둘 수 있다.,"납세자가 전자송달된 납부고지서에 의한 세액을 그 납부기한까지 전액 납부하지 아니하고, 2회 연속하여 국세정보통신망에 송달된 서류를 법령에서 정한 기한까지 열람하지 아니하는 경우에는 전자 송달의 신청을 철회한 것으로 본다.",국세정보통신망을 이용하여 공시송달을 할 때에는 다른 공시 송달 방법과 함께 하여야 한다.,B,National Tax Law,Thoery
국세기본법상 국세와 일반채권의 관계에 관한 설명이다. 옳은 것은?,납세담보물을 매각하였을 때에는 그 국세 및 강제징수비는 매각 대금 중에서 다른 국세 및 강제징수비와 지방세에 우선하여 징수한다.,"법정기일 전에 전세권이 설정된 재산이 국세의 강제징수 또는 경매 절차 등을 통하여 매각되어 그 매각금액에서 국세를 징수하는 경우, 그 전세권에 의하여 담보된 채권 또는 임대차보증금반환 채권은 해당 재산에 대하여 부과된 증여세보다 우선한다.",지방세 체납처분에 의하여 납세자의 재산을 압류한 경우에 국세 및 강제징수비의 교부청구가 있으면 교부청구된 국세 및 강제 징수비는 압류에 관계되는 지방세와 같은 순위로 징수한다.,납세자가 국세 및 강제징수비를 체납한 경우 그 납세자에게 그 국세의 법정기일 전에 담보의 목적이 된 양도담보재산이 있을 때에는 국세징수법에서 정하는 바에 따라 그 양도담보재산 으로써 납세자의 국세 및 강제징수비를 징수할 수 있다.,과세표준과 세액의 신고에 따라 납세의무가 확정되는 국세의 경우 신고한 해당 세액의 법정기일은 그 법정 신고납부기한의 다음 날이다.,A,National Tax Law,Thoery
"국세기본법상 국세환급금 및 국세환급가산금에 관한 설명이다. 옳은 것은?
",납세자가 상속세 및 증여세법에 따라 상속세를 물납한 후 그 부과의 전부 또는 일부를 취소하거나 감액하는 경정결정에 따라 환급하는 경우에는 해당 물납재산으로 환급하여야 하며 국세 환급가산금을 지급하여야 한다.,"국세환급금을 체납된 국세 및 강제징수비에 충당하는 것은 납세자가 그 충당에 동의하는 경우에만 가능하다.
",국세환급금 중 충당한 후 남은 금액은 국세환급금의 결정을 한 날부터 30일 내에 납세자에게 지급하여야 한다.,물납재산을 환급하는 경우에 국가가 물납재산을 유지 또는 관리하기 위하여 지출한 비용은 납세자의 부담으로 한다.,체납된 국세 및 강제징수비가 있는 납세자가 국세환급금을 납부 고지에 따라 납부하는 국세에 충당하는 것을 동의하거나 신청한 경우에도 국세환급금을 그 체납된 국세 및 강제징수비에 우선 충당해야 한다.,C,National Tax Law,Thoery
국세기본법상 납세의무의 확장 및 소멸에 관한 설명이다. 옳지 않은 것은?,법인이 합병한 경우 합병 후 존속하는 법인 또는 합병으로 설립된 법인은 합병으로 소멸된 법인에 부과되거나 그 법인이 납부할 국세 및 강제징수비를 납부할 의무를 진다.,법인이 분할 또는 분할합병한 후 소멸하는 경우 분할신설법인과 분할합병의 상대방 법인은 분할법인에 부과되거나 분할법인이 납부하여야 할 국세 및 강제징수비에 대하여 분할로 승계된 재산 가액을 한도로 연대하여 납부할 의무가 있다.,심판결정에 의하여 명의대여 사실이 확인된 경우에는 당초의 부과 처분을 취소하고 그 결정이 확정된 날부터 1년 이내에 실제로 사업을 경영한 자에게 경정이나 그 밖에 필요한 처분을 할 수 있다.,국세징수권의 소멸시효는 세법에 따른 분납기간이 지난 때부터 새로 진행한다.,"세무공무원이 사해행위 취소소송을 제기함으로 인한 시효정지의 효력은 소송이 각하, 기각 또는 취하된 경우에는 그 효력이 없다.",D,National Tax Law,Thoery
"국세기본법상 심사와 심판에 관한 설명이다. 옳지 않은 것은?
","조세범 처벌절차법에 따른 통고처분에 대해서는 국세 기본법에 따른 불복을 할 수 없다.
",재조사 결정에 따른 처분청의 처분에 대해서는 해당 재조사 결정을 한 재결청에 대하여 심사청구 또는 심판청구를 제기할 수 없다.,"행정소송은 심사청구 또는 심판청구에 대한 결정의 통지를 받은 날부터 90일 이내에 제기하여야 하나, 결정기간에 결정의 통지를 받지 못한 경우에는 결정의 통지를 받기 전이라도 그 결정 기간이 지난 날부터 행정소송을 제기할 수 있다.","심사청구에 대한 결정에 잘못된 기재, 계산착오, 그 밖에 이와 비슷한 잘못이 있는 것이 명백할 때에는 국세청장은 직권으로 또는 심사청구인의 신청에 의하여 경정할 수 있다.",조세심판관회의는 심판청구에 대한 결정을 할 때 심판청구를 한 처분 외의 처분에 대해서는 그 처분의 전부 또는 일부를 취소 또는 변경하거나 새로운 처분의 결정을 하지 못한다.,B,National Tax Law,Thoery
"법인세법상 자산의 취득가액 및 자산, 부채의 평가에 관한 설명이다. 틀린 것은?","특수관계에 있는 법인이 파산한 경우 내국법인이 보유한 해당 파산법인 주식의 장부가액은 사업연도 종료일 현재 시가 (1,000원 이하인 경우는 1,000원으로 함)로 감액할 수 없다.","유형자산의 취득과 함께 국.공채를 매입하는 경우 기업회계 기준에 따라 그 국채, 공채의 매입가액과 현재가치의 차액을 해당 유형자산의 취득가액으로 계상한 금액은 취득가액에 포함한다.",보험업법에 따라 유형자산의 장부가액을 증액한 경우에는 평가증액한 금액을 그 평가일이 속하는 사업연도의 익금으로 한다.,"재고자산으로서 파손, 부패 등의 사유로 정상가격으로 판매할 수 없는 것은 감액사유가 발생한 사업연도 종료일 현재 처분가능한 시가로 평가한 가액으로 감액할 수 있다.",모두 맞는 문항이다.,A,Corporate Tax Law,Thoery
"법인세법상 손익의 귀속시기에 관한 설명이다. 옳지 않은 것은?
","법인이 비치, 기장한 장부가 없어 당해 사업연도 종료일까지 실제로 소요된 총공사비누적액을 확인할 수 없는 경우에는 그 목적물의 인도일이 속하는 사업연도의 익금과 손금에 각각 산입한다.",납품계약 또는 수탁가공계약에 따라 검사를 거쳐 인수 및 인도가 확정되는 물품의 경우에는 당해 물품을 계약상 인도하여야 할 장소에 보관한 날이 속하는 사업연도의 손익으로 한다.,"임대료 지급기간이 1년을 초과하는 경우 이미 경과한 기간에 대응하는 임대료 상당액과 비용은 이를 각각 해당 사업연도의 익금과 손금으로 한다.
",중소기업인 법인이 장기할부조건으로 자산을 판매한 경우에는 그 장기할부조건에 따라 각 사업연도에 회수하였거나 회수할 금액과 이에 대응하는 비용을 각각 해당 사업연도의 익금과 손금에 산입할 수 있다.,계약의 목적물을 인도하지 아니하고 목적물의 가액변동에 따른 차액을 금전으로 정산하는 파생상품의 거래로 인한 손익은 그 거래에서 정하는 대금결제일이 속하는 사업연도의 익금과 손금으로 한다.,B,Corporate Tax Law,Thoery
법인세법상 충당금과 준비금에 관한 설명이다. 틀린 것을 고른 것은?,비영리내국법인 A(「사회복지사업법」에 따른 사회복지법인임)는 소득세법상 이자소득금액(비영업대금의 이익은 제외)에 100분의 100을 곱하여 산출한 금액을 고유목적사업준비금으로 손금에 산입할 수 있다.,"(주)B는 공장건물의 화재로 인하여 보험금을 지급받은 사업연도에 사용하지 못하였으나 그 다음 사업연도 개시일부터 2년 이내에 공장건물의 취득에 보험금을 사용하려는 경우에는, 지급받은 사업연도에 일시상각충당금으로 손금에 산입할 수 있다.",(주)C가 아파트 건설과 관련하여 기업회계기준에 따라 공사 손실충당부채를 손금으로 계상한 때에는 법 소정 한도 내에서 그 계상한 사업연도의 손금으로 한다.,(주)D는채무자 회생 및 파산에 관한 법률에 따른 회생계획 인가의 결정으로 확정된 채권을 해당 사유가 발생한 날이 속하는 사업연도의 손금에 산입한다.,모두 맞다,C,Corporate Tax Law,Thoery
"제조업을 영위하는 영리내국법인 (주)A의 제24기(2024.1.1.~2024.12.31.) 기부금에 관한 자료이다. 제24기에 지출한 일반기부금의 한도초과액 으로 옳은 것은?

1. 손익계산서상 당기순이익: 100,000,000원
2. 기부금 관련 세무조정사항을 제외한 세무조정 내역
익금산입ᆞ손금불산입: 20,000,000원
손금산입ᆞ익금불산입: 10,000,000원
3. 손익계산서상 기부금은 무료로 이용할 수 있는 아동복지시설에 현금으로 지급된 5,000,000원이다.
4. 제24기 중 국가로부터 정당한 사유없이 토지를 현금으로 구입 하였다. 구입한 토지의 취득가액은 90,000,000원이고, 취득 당시 시가는 60,000,000원이다.
5. 제22기에 발생한 결손금으로서 이후 과세표준을 계산할 때 공제되지 아니한 금액은 100,000,000원이다.
6. 제23기에 발생한 일반기부금 한도초과액은 1,000,000원이다.
7. (주)A는 사회적기업이 아니며, 각 사업연도 소득금액의 80%까지 이월결손금 공제를 할 수 있는 법인이다","3,700,000원","3,850,000원","4,350,000원","4,850,000원","5,000,000원",D,Corporate Tax Law,Calculate
법인세법상 사업연도에 관한 설명이다. 옳지 않은 것은?,국내사업장이 있는 외국법인으로서 법령이나 정관 등에 사업연도에 관한 규정이 없는 (주)A가 사업연도를 신고하지 아니하는 경우 (주)A의 최초사업연도는 국내사업장을 가지게 된 날부터 그 날이 속하는 해의 12월 31일까지로 한다.,내국법인 (주)B(사업연도: 1월 1일∼12월 31일)가 사업연도를 7월 1일부터 6월 30일까지로 변경하기 위하여 2024년 4월 15일 사업연도변경신고서를 납세지 관할세무서장에게 제출한 경우 변경 후 최초사업연도는 2025년 1월 1일부터 2025년 6월 30일까지이다.,최초사업연도개시일전에생긴손익을사실상그법인에귀속 시킨 것이 있는 경우 조세포탈의 우려가 없을 때에는 최초사업 연도의 기간이 1년을 초과하지 아니하는 범위 내에서 이를 해당 법인의 최초사업연도 손익에 산입할 수 있다.,"사업연도가 변경된 경우에는 종전의 사업연도 개시일부터 변경된 사업연도 개시일 전날까지의 기간을 1사업연도로 한다. 다만, 그 기간이 1개월 미만인 경우에는 변경된 사업연도에 그 기간을 포함한다.",내국법인 (주)C(사업연도: 1월 1일∼12월 31일)가 2024년 6월 30일 조직변경을 한 경우에는 2024년 1월 1일부터 2024년 6월 30일까지의 기간과 2024년 7월 1일부터 2024년 12월 31일까지의 기간을 각각 1사업연도로 본다.,E,Corporate Tax Law,Theory
법인세법상 비영리법인의 각 사업연도 소득에 관한 설명이다. 옳지 않은 것은?,비영리내국법인은 원천징수된 투자신탁의 이익에 대하여 과세표준 신고를 하지 아니할 수 있다. 이 경우 과세표준 신고를 하지 아니한 투자신탁의 이익은 그 법인의 해당 각 사업연도 소득금액에 산입한다.,"토지또는건물의양도로인하여발생하는소득만있는비영리 내국법인(사업소득에 해당하는 수익사업을 하는 비영리내국 법인은 제외함)은 과세표준 신고를 하지 아니할 수 있다.
1 1,250,000원
4 1,500,000원
2 1,400,000원
5 1,600,000원
3 1,450,000원
15.「법인세법」상 합병 및 분할 등 특례에 관한 설명이다. 옳지 않은 것은?
1 합병법인이 피합병법인의 자산을 시가로 양도받은 것으로 보는 경우로서 피합병법인에 지급한 양도가액이 피합병법인의 합병등기일 현재의 자산총액에서 부채총액을 뺀 금액보다 큰 경우, 합병법인은 그 차액을 합병등기일부터 5년간 균등하게 나누어 익금에 산입한다.
2 피합병법인의 양도손익을 계산할 때 적격합병의 경우에는 피합병법인이 합병법인으로부터 받은 양도가액을 합병등기일 현재 피합병법인의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다.
3 피합병법인의 순자산 장부가액을 계산할 때 「국세기본법」에 따라 환급되는 법인세액이 있는 경우에는 이에 상당하는 금액을 합병등기일 현재 피합병법인의 순자산 장부가액에 더한다.
4 내국법인이 분할로 해산하는 경우(물적분할은 제외)에는 그 법인의 자산을 분할신설법인 또는 분할합병의 상대방 법인에 양도한 것으로 본다.
5 합병법인은 피합병법인의 자산을 장부가액으로 양도받은 경우 양도받은 자산 및 부채의 가액을 합병등기일 현재의 시가로 계상 하되, 시가에서 피합병법인의 장부가액을 뺀 금액이 0보다 작은 ","비영리외국법인이란 외국법인 중 외국의 정부, 지방자치단체 및 영리를 목적으로 하지 아니하는 법인(법인으로 보는 단체를 포함함)을 말한다.","비영리내국법인의 각 사업연도 소득에는 유형자산의 처분으로 인한 수입을 포함하나, 처분일 현재 3년 이상 계속하여 고유목적사업에 직접 사용한 유형자산의 처분으로 인하여 생기는 수입은 제외한다.","비영리내국법인은 토지 등 양도소득에 대한 법인세 납세의무가 있으나, 청산소득에 대한 법인세 납세의무는 없다.",A,Corporate Tax Law,Theory
법인세법상 합병 및 분할 등 특례에 관한 설명이다. 옳지 않은 것은?,"합병법인이 피합병법인의 자산을 시가로 양도받은 것으로 보는 경우로서 피합병법인에 지급한 양도가액이 피합병법인의 합병등기일 현재의 자산총액에서 부채총액을 뺀 금액보다 큰 경우, 합병법인은 그 차액을 합병등기일부터 5년간 균등하게 나누어 익금에 산입한다.","토지또는건물의양도로인하여발생하는소득만있는비영리 내국법인(사업소득에 해당하는 수익사업을 하는 비영리내국 법인은 제외함)은 과세표준 신고를 하지 아니할 수 있다.
1 1,250,000원
4 1,500,000원
2 1,400,000원
5 1,600,000원
3 1,450,000원
15.「법인세법」상 합병 및 분할 등 특례에 관한 설명이다. 옳지 않은 것은?
1 합병법인이 피합병법인의 자산을 시가로 양도받은 것으로 보는 경우로서 피합병법인에 지급한 양도가액이 피합병법인의 합병등기일 현재의 자산총액에서 부채총액을 뺀 금액보다 큰 경우, 합병법인은 그 차액을 합병등기일부터 5년간 균등하게 나누어 익금에 산입한다.
2 피합병법인의 양도손익을 계산할 때 적격합병의 경우에는 피합병법인이 합병법인으로부터 받은 양도가액을 합병등기일 현재 피합병법인의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다.
3 피합병법인의 순자산 장부가액을 계산할 때 「국세기본법」에 따라 환급되는 법인세액이 있는 경우에는 이에 상당하는 금액을 합병등기일 현재 피합병법인의 순자산 장부가액에 더한다.
4 내국법인이 분할로 해산하는 경우(물적분할은 제외)에는 그 법인의 자산을 분할신설법인 또는 분할합병의 상대방 법인에 양도한 것으로 본다.
피합병법인의 양도손익을 계산할 때 적격합병의 경우에는 피합병법인이 합병법인으로부터 받은 양도가액을 합병등기일 현재 피합병법인의 순자산 장부가액으로 보아 양도손익이 없는 것으로 할 수 있다.",피합병법인의 순자산 장부가액을 계산할 때 「국세기본법」에 따라 환급되는 법인세액이 있는 경우에는 이에 상당하는 금액을 합병등기일 현재 피합병법인의 순자산 장부가액에 더한다.,내국법인이 분할로 해산하는 경우(물적분할은 제외)에는 그 법인의 자산을 분할신설법인 또는 분할합병의 상대방 법인에 양도한 것으로 본다.,"합병법인은 피합병법인의 자산을 장부가액으로 양도받은 경우 양도받은 자산 및 부채의 가액을 합병등기일 현재의 시가로 계상 하되, 시가에서 피합병법인의 장부가액을 뺀 금액이 0보다 작은 경우에는 시가와 장부가액의 차액을 손금에 산입하고 이에 상당 하는 금액을 자산조정계정으로 익금에 산입한다.",A,Corporate Tax Law,Theory
"영리내국법인 (주)A(제조업ᆞ중소기업)의 제24기(2024.1.1.∼2024.12.31.) 세무 조정에 관한 자료이다. 익금산입, 손금불산입 합계와 손금산입, 익금불산입 합계로 옳은 것은? 단, 지급이자 손금불산입은 고려하지 않는다.

(1) 토지 취득
1 (주)A는 특수관계인인 (주)B로부터 2024년 11월 23일 공장 신축용 토지를 450,000,000원에 매입하여 사업에 즉시 사용하였다.
2 2024년 11월 23일 매입대금 중 350,000,000원을 지급하고 잔액은 2025년 1월 21일 지급할 예정이다.
3 토지의 시가는 불분명하고 개별공시지가는 240,000,000원이며, 두 감정평가법인의 평가액은 각각 270,000,000원과 330,000,000원이다.

(2) 대여금 내역
구분 원금 이자회수액 비고
갑(대표이사) 70,000,000원 2,700,000원 사업자금 대여
을(전무이사) 30,000,000원 700,000원 별장구입자금 대여
병(회계부장) 20,000,000원 500,000원 주택전세자금 대여

-1- 대여금은 모두 제23기에 대여하였으며 제24기 연중 변동은 없다.
-2- (주)A는 갑(대표이사)으로부터 별도의 상환 약정 없이 차입한 차입금 10,000,000원(연중 변동 없음)이 있다.
-3- (주)A는 과세표준을 신고할 때 가지급금 인정이자 계산시 적용할 이자율로 당좌대출이자율(4.6%)을 적법하게 신고하였다.

","익금산입, 손금불산입 합계 : 150,680,000원
손금산입, 익금불산입 합계 : 50,000,000원","익금산입, 손금불산입 합계 : 150,680,000원
손금산입, 익금불산입 합계 : 150,000,000원","익금산입, 손금불산입 합계 : 151,100,000원
손금산입, 익금불산입 합계 : 50,000,000원","익금산입, 손금불산입 합계 : 151,100,000원
손금산입, 익금불산입 합계 : 150,000,000원","익금산입, 손금불산입 합계 : 211,100,000원
손금산입, 익금불산입 합계 : 50,000,000원",B,Corporate Tax Law,Calculate
"영리내국법인 (주)A(제조업, 중소기업)의 제24기(2024.1.1.∼2024.12.31.) 세무 조정에 관한 자료이다. 익금산입, 손금불산입 합계와 손금산입, 익금불산입 합계로 옳은 것은? 단, 지급이자 손금불산입은 고려하지 않는다.
18. 영리내국법인 (주)갑의 제24기(2024.1.1.~2024.12.31.) 외국납부세액에 관한 자료이다. 외국납부세액공제를 적용할 경우 제24기 법인세 산출세액에서 공제할 외국납부세액공제액으로 옳은 것은?","500,000원","562,500원","625,000원","1,250,000원","1,750,000원",B,Corporate Tax Law,Calculate
"제조업을 영위하는 영리내국법인 (주)A의 제24기(2024.1.1.∼2024.12.31.) 공장 건물의 감가상각비 세무조정에 관한 자료이다. (주)A가 법인세 부담을 최소화하는 방향으로 적법하게 신고하였을 경우 공장 건물의 감가상각에 관한 세무조정으로 옳은 것은?

(1) 사업용 공장 건물을 시가인 350,000,000원에 취득하기 위하여 2024년 7월 1일 계약금 50,000,000원을 지급하였다. 소유권 이전등기일(2024.9.1.)부터 동 건물의 사용을 개시하였으며, 2024년 10월 1일 잔금 300,000,000원을 지급하였다.
(2) 동 건물의 취득세 10,000,000원을 세금과공과로 비용처리하였다.
(3) 동 건물에 대한 기준내용연수는 20년이며, 당기에는 공장 건물에 대한 감가상각비를 계상하지 않았다.
(4) 감가상각 시부인 계산시 월할상각을 가정한다.
(5) 한국채택국제회계기준을 적용하지 않는다.",세무조정 없음,"손금산입 4,000,000원 (△유보)","익금산입 2,000,000원 (유보)","익금산입 4,000,000원 (유보)","익금산입 5,500,000원 (유보)",C,Corporate Tax Law,Calculate
"소득세법상 소득구분에 관한 설명이다. 옳지 않은 것은?
",비사업자가 공익사업과 관련하여 지상권을 양도함으로써 발생하는 소득은 양도소득이다.,전자상거래 등에서의 소비자보호에 관한 법률에 따라 통신 판매중개를 하는 자를 통하여 장소를 대여하고 받은 연간 수입 금액 500만원은 기타소득이다.,이축권을 별도로 적법하게 감정평가하여 신고하는 경우 그 이축권을 토지.건물과 함께 양도함으로써 발생하는 소득은 양도소득이다.,비사업자가 지하수개발권을 토지 등과 함께 양도함으로써 발생 하는 소득은 기타소득이다.,사업과 관련하여 사업용 자산의 손실로 취득하는 보험차익은 사업소득이다.,C,Income Tax Law,Theory
"소득세법상 세액공제에 관한 설명이다. 옳은 것은?
","간편장부대상자가 비치, 기장한 장부에 의해 신고해야 할 소득금액의 10%를 누락하여 신고한 경우 기장세액공제를 적용하지 않는다.","재해손실세액공제와 관련하여 자산상실비율을 계산할 때, 상실한 타인소유의 자산으로서 그 상실에 대한 변상책임이 당해 사업자에게 있는 것은 상실 전 자산총액에 포함되지 않는다.",종합소득에 대하여 외국정부에 납부한 외국소득세액을 이월 공제기간 내에 공제받지 못할 경우 그 공제받지 못한 외국소득 세액은 이월 공제기간의 종료일 다음 날이 속하는 과세기간의 소득금액을 계산할 때 필요경비에 산입할 수 있다.,생계를 같이하는 부양가족 중 소득요건을 충족하지 않아 기본 공제대상자가 아닌 자에게 지출한 의료비는 의료비 세액공제 대상이 될 수 없다.,부양가족을 위하여 지급한 학자금대출 원리금 상환액은 교육비 세액공제 대상이 될 수 있다.,C,Income Tax Law,Theory
"거주자 갑의 2024년 금융소득에 관한 자료이다. 갑의 종합소득금액에 합산될 금융소득금액으로 옳은 것은? 별도의 언급이 없는 경우 금융소득에 대한 원천징수는 적법하게 이루어졌으며, 모든 금액은 원천징수세액을 차감하기 전의 금액이다.

(1) 2024년초 지인에게 자금을 대여해주고 회수한 금액(동 이자는
*
* 원금 30,000,000원과 이자 7,000,000원의 합계액 37,000,000원 중 일부를
회수한 것이고 나머지는 채무자의 파산으로 회수할 수 없는 상태임
(2) 「민사집행법」에 따라 법원에 납부한 보증금에 대한 이자: 3,000,000원
(3) 출자공동사업자의 배당소득: 9,000,000원
(4) 국내은행 정기예금이자: 3,000,000원
(5) 「공익신탁법」에 따른 공익신탁의 이익: 6,000,000원
(6) 비상장 내국법인으로부터 받은 현금배당: 12,000,000원
(7) 소득세법령이 정하는 채권의 환매조건부 매매차익: 7,000,000원
(8) 배당가산(Gross-up)율: 10%","36,700,000원","36,770,000원
","39,300,000원","42,200,000원","42,220,000원",A,Income Tax Law,Calculate
